Song_id,Song,Artist,Album,Album_id,danceability,energy,key,mode,instrumentalness,valence,duration_ms,time_signature,loudness,speechiness,acousticness,liveness,tempo,popularity,year_of_release
67gusSJWD5yC8FdqUgSLqt,Boom,NCT 127,NCT #127 Neo Zone - The 2nd Album,5YHFKsjb0e5q8Smb2CBUl7,0.74,0.628,2,1,1.74e-06,0.307,209080,4,-3.355,0.143,0.0418,0.12,104.926,36,2020-03-06
0yFq4GHDqLfeceyAs63B3W,Kick It,NCT 127,NCT #127 Neo Zone - The 2nd Album,5YHFKsjb0e5q8Smb2CBUl7,0.681,0.847,7,1,0.0,0.507,233013,4,-2.462,0.0869,0.0306,0.0808,167.031,57,2020-03-06
6vhmewSz8HK4jLP7EuOmlx,Pandora's Box,NCT 127,NCT #127 Neo Zone - The 2nd Album,5YHFKsjb0e5q8Smb2CBUl7,0.636,0.813,0,1,0.0,0.634,249120,4,-3.38,0.0693,0.127,0.064,159.968,36,2020-03-06
2pLZ2aJvRQssXcF6mdUoub,Day Dream,NCT 127,NCT #127 Neo Zone - The 2nd Album,5YHFKsjb0e5q8Smb2CBUl7,0.422,0.799,4,1,0.0,0.174,205747,3,-4.441,0.14,0.203,0.198,136.424,32,2020-03-06
6lO8JsLSmEPSebcCwmZLsb,Interlude: Neo Zone,NCT 127,NCT #127 Neo Zone - The 2nd Album,5YHFKsjb0e5q8Smb2CBUl7,0.529,0.575,7,1,0.807,0.109,99120,4,-6.628,0.109,0.244,0.0296,165.97,22,2020-03-06
7ARkzETM5vjxptipR501ue,MAD DOG,NCT 127,NCT #127 Neo Zone - The 2nd Album,5YHFKsjb0e5q8Smb2CBUl7,0.645,0.866,2,1,0.0,0.606,183187,4,-3.415,0.381,0.206,0.0976,157.831,33,2020-03-06
0SJQTuNZ52VkxfGHJJItBs,Sit Down!,NCT 127,NCT #127 Neo Zone - The 2nd Album,5YHFKsjb0e5q8Smb2CBUl7,0.819,0.812,1,1,2e-05,0.719,200200,4,-4.204,0.11,0.0603,0.043,127.981,42,2020-03-06
1QLLNLd32qDJjsH1UPPMkp,Love Me Now,NCT 127,NCT #127 Neo Zone - The 2nd Album,5YHFKsjb0e5q8Smb2CBUl7,0.547,0.778,6,0,0.0,0.386,248253,4,-4.733,0.138,0.151,0.0515,126.185,37,2020-03-06
2oKAC0Dv0EEEWaECVmZzyp,Love Song,NCT 127,NCT #127 Neo Zone - The 2nd Album,5YHFKsjb0e5q8Smb2CBUl7,0.652,0.783,1,1,0.0,0.664,215160,4,-3.271,0.143,0.048,0.0866,129.843,43,2020-03-06
0gu1joxLlUJKmg2ZvGTaZF,White Night,NCT 127,NCT #127 Neo Zone - The 2nd Album,5YHFKsjb0e5q8Smb2CBUl7,0.56,0.568,7,0,0.0,0.214,243427,4,-3.967,0.0288,0.203,0.13,70.978,38,2020-03-06
26jI9TGHvFIR0alFLMuJMr,Not Alone,NCT 127,NCT #127 Neo Zone - The 2nd Album,5YHFKsjb0e5q8Smb2CBUl7,0.761,0.574,9,1,9e-06,0.427,225173,4,-5.229,0.0332,0.627,0.125,126.994,34,2020-03-06
2MRnZFBKs7DaPo4TYk71Ky,Dreams Come True,NCT 127,NCT #127 Neo Zone - The 2nd Album,5YHFKsjb0e5q8Smb2CBUl7,0.552,0.668,6,0,0.0,0.38,225560,4,-4.345,0.0477,0.145,0.145,97.964,37,2020-03-06
7LXW05QcQi9ri7ZBYqGhPJ,Punch,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.636,0.915,1,1,0.0,0.511,204000,4,-3.473,0.183,0.0353,0.0978,90.946,41,2020-05-19
2mAimBqtgLqzwxcQgaap6x,NonStop,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.555,0.926,0,0,0.0,0.644,204707,4,-2.793,0.113,0.0892,0.0626,149.725,33,2020-05-19
3JQRWZv9NIIjcUHaSpIRpK,Prelude,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.569,0.823,4,0,0.779,0.328,105280,4,-5.709,0.169,0.00796,0.28,166.994,22,2020-05-19
4WDdUk1bWlGJMHMuoDLs0t,Kick It,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.681,0.847,7,1,0.0,0.506,233013,4,-2.462,0.0867,0.0306,0.0808,167.036,29,2020-05-19
69WXok1kfFJt90yRWg3i01,Boom,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.74,0.628,2,1,1.74e-06,0.307,209080,4,-3.355,0.143,0.043,0.12,104.929,21,2020-05-19
3pSDLWli03Lh35XYXMw6rE,Pandora's Box,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.636,0.814,0,1,0.0,0.635,249120,4,-3.38,0.0693,0.127,0.064,159.97,21,2020-05-19
7yc7wPsTT2j8sDMd110TXV,Day Dream,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.421,0.799,4,1,0.0,0.176,205747,3,-4.441,0.14,0.203,0.198,136.424,19,2020-05-19
0daAodHPqFFWMb28BBSvkV,Make Your Day,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.602,0.411,2,0,0.0,0.439,215027,3,-5.634,0.0315,0.839,0.283,117.661,33,2020-05-19
66V0dVBrS8tLncFj8h5qkv,Interlude: Neo Zone,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.534,0.575,7,1,0.807,0.109,99120,4,-6.628,0.106,0.244,0.0296,166.078,15,2020-05-19
0wiV3N7Dea5aAK4FTmMwT3,MAD DOG,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.646,0.863,2,1,0.0,0.614,183187,4,-3.415,0.381,0.206,0.0976,157.834,20,2020-05-19
4SLCQDrOeAKt3zjryR65Aq,Sit Down!,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.819,0.812,1,1,2.03e-05,0.719,200200,4,-4.203,0.11,0.0603,0.0429,127.983,23,2020-05-19
1JMgrBumdWquPGTl3G1va8,Love Me Now,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.547,0.778,6,0,0.0,0.383,248253,4,-4.733,0.139,0.152,0.0515,126.181,22,2020-05-19
26V2JsO8EDPgkYhaN40JhN,Love Song,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.652,0.784,1,1,0.0,0.667,215160,4,-3.271,0.143,0.0477,0.0866,129.837,24,2020-05-19
0U3mBSg8ltCpkkb0HB6BAN,White Night,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.56,0.567,7,0,0.0,0.214,243427,4,-3.968,0.0288,0.203,0.13,70.978,21,2020-05-19
7bcMidz4QP54nca3Mr4FGc,Not Alone,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.761,0.573,9,1,9.04e-06,0.428,225173,4,-5.229,0.0332,0.627,0.125,126.991,20,2020-05-19
2j7OLg8cQnJYCLqXW9cK6r,Dreams Come True,NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.557,0.668,6,0,0.0,0.38,225560,4,-4.345,0.0474,0.144,0.145,97.985,21,2020-05-19
4hP2EP2MhPxFrHcw8pnltB,Elevator (127F),NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,0DPNn9SKfwd7rJiiJFLwee,0.731,0.707,4,0,0.0,0.579,209880,4,-3.808,0.0582,0.105,0.404,103.969,21,2020-05-19
4bEa9VAnyVJWBxOUyVvzie,Sticker,NCT 127,Sticker - The 3rd Album,7sf7G0C6NuW8GjQbWwJlGk,0.527,0.769,2,1,0.0,0.719,227773,4,-0.419,0.28,0.311,0.742,156.032,49,2021-09-17
21C8u2VFhCC8NAyoaR6rVC,Lemonade,NCT 127,Sticker - The 3rd Album,7sf7G0C6NuW8GjQbWwJlGk,0.812,0.876,11,0,0.000522,0.679,190067,4,-1.456,0.0716,0.0145,0.119,89.992,49,2021-09-17
7kc18MyDGLhUGvKflOwBo1,Breakfast,NCT 127,Sticker - The 3rd Album,7sf7G0C6NuW8GjQbWwJlGk,0.745,0.781,6,1,0.0,0.617,212613,4,-3.59,0.0535,0.126,0.0508,121.941,36,2021-09-17
6xkrKjAKDPJJk86s3MgFZz,Focus,NCT 127,Sticker - The 3rd Album,7sf7G0C6NuW8GjQbWwJlGk,0.655,0.711,5,1,0.0,0.468,204707,4,-3.34,0.161,0.284,0.116,82.391,37,2021-09-17
0LsojmTfkL9zaV0vcrL8cz,The Rainy Night,NCT 127,Sticker - The 3rd Album,7sf7G0C6NuW8GjQbWwJlGk,0.476,0.633,5,1,0.0,0.337,199027,3,-4.707,0.0423,0.359,0.139,149.738,42,2021-09-17
3CMEMtGA7b6DXg8pSm4Q9N,Far,NCT 127,Sticker - The 3rd Album,7sf7G0C6NuW8GjQbWwJlGk,0.593,0.796,9,1,0.0,0.41,216573,4,-3.847,0.179,0.0613,0.28,80.041,33,2021-09-17
6ItCueFMTt3KOgCnISTDr8,Bring The Noize,NCT 127,Sticker - The 3rd Album,7sf7G0C6NuW8GjQbWwJlGk,0.762,0.923,6,1,0.0,0.91,222160,4,-3.11,0.185,0.196,0.488,160.065,35,2021-09-17
13CDU2AlrwsYOP5U7ePifB,Magic Carpet Ride,NCT 127,Sticker - The 3rd Album,7sf7G0C6NuW8GjQbWwJlGk,0.579,0.624,6,1,0.0,0.401,218147,4,-4.85,0.0539,0.065,0.105,141.852,39,2021-09-17
0u9IsnJI27kuhXQcxZaWBU,Dreamer,NCT 127,Sticker - The 3rd Album,7sf7G0C6NuW8GjQbWwJlGk,0.843,0.762,5,0,0.0,0.907,209160,4,-2.121,0.112,0.292,0.042,109.038,35,2021-09-17
6NgnzFTrGz9jINgUmZiqfx,Promise You,NCT 127,Sticker - The 3rd Album,7sf7G0C6NuW8GjQbWwJlGk,0.632,0.874,0,1,6.34e-06,0.233,211160,4,-2.763,0.0546,0.108,0.118,121.954,40,2021-09-17
3rR9kTA6mD9LbmsCE0QWEY,Favorite (Vampire),NCT 127,Favorite - The 3rd Album Repackage,3xn5tn8JNMlJf3sISHONUy,0.561,0.758,5,0,3.08e-06,0.178,215587,4,-3.87,0.0478,0.000831,0.15,149.944,53,2021-10-25
2bLWH1IymYtuUNsT2fA14h,Love On The Floor,NCT 127,Favorite - The 3rd Album Repackage,3xn5tn8JNMlJf3sISHONUy,0.889,0.679,11,0,1.37e-05,0.641,218280,4,-4.106,0.11,0.0799,0.031,116.998,42,2021-10-25
4QHVFnxo6Q74527VAzpZvF,Breakfast,NCT 127,Favorite - The 3rd Album Repackage,3xn5tn8JNMlJf3sISHONUy,0.745,0.781,6,1,0.0,0.617,212613,4,-3.59,0.0535,0.126,0.0508,121.941,23,2021-10-25
4fu0inYctXwHTZQSeW8g7z,Pilot,NCT 127,Favorite - The 3rd Album Repackage,3xn5tn8JNMlJf3sISHONUy,0.624,0.879,5,0,0.0,0.762,209360,4,-2.676,0.0552,0.0579,0.223,160.024,43,2021-10-25
1OcycJBPNitpEIMwOmoAdK,Focus,NCT 127,Favorite - The 3rd Album Repackage,3xn5tn8JNMlJf3sISHONUy,0.655,0.711,5,1,0.0,0.468,204707,4,-3.34,0.161,0.284,0.116,82.391,23,2021-10-25
4XR5UDwqVovdcW75xF5GUJ,The Rainy Night,NCT 127,Favorite - The 3rd Album Repackage,3xn5tn8JNMlJf3sISHONUy,0.476,0.633,5,1,0.0,0.337,199027,3,-4.707,0.0423,0.359,0.139,149.738,25,2021-10-25
27qxCacrj5lrxP7EreCQ35,Far,NCT 127,Favorite - The 3rd Album Repackage,3xn5tn8JNMlJf3sISHONUy,0.593,0.796,9,1,0.0,0.41,216573,4,-3.847,0.179,0.0613,0.28,80.041,20,2021-10-25
5na1nQMXKpeWpUdemFdLJZ,Bring The Noize,NCT 127,Favorite - The 3rd Album Repackage,3xn5tn8JNMlJf3sISHONUy,0.762,0.923,6,1,0.0,0.91,222160,4,-3.11,0.185,0.196,0.488,160.065,22,2021-10-25
2lAaG0GoT24Bg0DPvK7oAa,Magic Carpet Ride,NCT 127,Favorite - The 3rd Album Repackage,3xn5tn8JNMlJf3sISHONUy,0.579,0.624,6,1,0.0,0.401,218147,4,-4.85,0.0539,0.065,0.105,141.852,24,2021-10-25
4gIbWPkgavEKmOChbZImk7,Road Trip,NCT 127,Favorite - The 3rd Album Repackage,3xn5tn8JNMlJf3sISHONUy,0.75,0.538,5,0,0.0,0.434,215053,4,-4.866,0.036,0.123,0.0937,87.992,25,2021-10-25
2bYoYDYb280iLZgg58wZcO,Dreamer,NCT 127,Favorite - The 3rd Album Repackage,3xn5tn8JNMlJf3sISHONUy,0.843,0.762,5,0,0.0,0.907,209160,4,-2.121,0.112,0.292,0.042,109.038,22,2021-10-25
6mHmo9JJT5s9LxhWHeOBFI,Promise You,NCT 127,Favorite - The 3rd Album Repackage,3xn5tn8JNMlJf3sISHONUy,0.632,0.874,0,1,6.34e-06,0.233,211160,4,-2.763,0.0546,0.108,0.118,121.954,24,2021-10-25
74SstVplYcMI0iK8ptXQ1w,Faster,NCT 127,2 Baddies - The 4th Album,6PMZEFLrGOUBBn4BtLBp0F,0.829,0.812,1,1,0.0,0.43,170627,4,-3.978,0.113,0.0282,0.225,96.986,40,2022-09-16
7035sowF3NNYDfRUO8GF9H,2 Baddies,NCT 127,2 Baddies - The 4th Album,6PMZEFLrGOUBBn4BtLBp0F,0.597,0.92,2,1,0.0,0.502,230293,4,-2.181,0.252,0.163,0.0842,171.993,55,2022-09-16
2nQTnCuBuUNAhWdbClb6cj,Time Lapse,NCT 127,2 Baddies - The 4th Album,6PMZEFLrGOUBBn4BtLBp0F,0.477,0.91,6,0,0.0,0.46,215307,4,-3.344,0.209,0.0595,0.286,84.857,36,2022-09-16
76VjpzbwSVBbksf7PIUAE1,Crash Landing,NCT 127,2 Baddies - The 4th Album,6PMZEFLrGOUBBn4BtLBp0F,0.446,0.869,1,1,0.0,0.565,204800,3,-1.865,0.112,0.202,0.072,100.749,38,2022-09-16
2kpRx8j7G8LXCG7j3uXfWs,Designer,NCT 127,2 Baddies - The 4th Album,6PMZEFLrGOUBBn4BtLBp0F,0.71,0.912,1,1,0.0,0.508,237080,4,-3.184,0.0825,0.108,0.121,92.991,46,2022-09-16
10zLKJygB4PLd9I3qZSlx4,Gold Dust,NCT 127,2 Baddies - The 4th Album,6PMZEFLrGOUBBn4BtLBp0F,0.735,0.541,0,1,0.0,0.516,249613,4,-5.272,0.0395,0.701,0.344,140.001,45,2022-09-16
5oJPdiNvMjlaETsqj9yIuD,Black Clouds,NCT 127,2 Baddies - The 4th Album,6PMZEFLrGOUBBn4BtLBp0F,0.573,0.715,2,1,0.0,0.286,218400,4,-4.109,0.0865,0.234,0.098,170.112,40,2022-09-16
0E3voRC8eda7avWe8QdP0z,Playback,NCT 127,2 Baddies - The 4th Album,6PMZEFLrGOUBBn4BtLBp0F,0.667,0.74,1,0,0.0,0.614,192547,4,-4.514,0.114,0.428,0.179,160.028,33,2022-09-16
5RUQgnYbGLIpRrLybVM2tm,Tasty,NCT 127,2 Baddies - The 4th Album,6PMZEFLrGOUBBn4BtLBp0F,0.787,0.94,11,0,0.000172,0.564,214747,4,-3.757,0.142,0.00667,0.0684,107.961,37,2022-09-16
6kI1XulTtWBDPnOsiRGOfb,Vitamin,NCT 127,2 Baddies - The 4th Album,6PMZEFLrGOUBBn4BtLBp0F,0.75,0.705,7,1,0.0,0.743,184387,4,-2.953,0.0482,0.154,0.035,90.052,36,2022-09-16
6K2l6IFGP7ufF5GUe7WlyC,LOL (Laugh-Out-Loud),NCT 127,2 Baddies - The 4th Album,6PMZEFLrGOUBBn4BtLBp0F,0.659,0.868,6,0,0.0,0.554,219533,4,-2.905,0.0387,0.0887,0.0795,89.985,36,2022-09-16
34AqlVJAe7l15LFCDV8lSX,"1, 2, 7 (Time Stops)",NCT 127,2 Baddies - The 4th Album,6PMZEFLrGOUBBn4BtLBp0F,0.663,0.775,7,1,0.0,0.271,216867,4,-4.039,0.0904,0.101,0.117,93.894,39,2022-09-16
