Song_id,Song,Artist,Album,Album_id,danceability,energy,key,mode,instrumentalness,valence,duration_ms,time_signature,loudness,speechiness,acousticness,liveness,tempo,popularity,year_of_release
46JuEtCV69InGm7hONKrgA,INTRO: Neo Got My Back,"NCT, NCT U",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.828,0.689,5,1,0.0118,0.176,117326,4,-7.97,0.0699,0.32,0.11,100.042,45,2018-03-14
0ErzcmZ2gIwX7X0xSMQPix,BOSS,"NCT, NCT U",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.787,0.543,10,0,0.0,0.332,210641,4,-6.7,0.037,0.0233,0.0861,99.026,61,2018-03-14
1EYSS9Lp7a9f20C3FaOVgI,Baby Don’t Stop,"NCT, NCT U",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.827,0.739,8,1,4.13e-06,0.352,183020,4,-6.391,0.0744,0.0214,0.043,95.999,59,2018-03-14
741wqAxJIPwjHWLjyG2so6,GO,"NCT, NCT DREAM",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.76,0.928,8,0,0.0,0.673,207173,4,-3.645,0.215,0.308,0.072,131.985,54,2018-03-14
1mdEvT7X3Rs7vL75fRb8oo,TOUCH,"NCT, NCT 127",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.595,0.806,8,1,0.0,0.616,189078,4,-4.644,0.141,0.0391,0.36,93.126,52,2018-03-14
6OyLuTMyY9dOswKPyIT8SO,YESTODAY,"NCT, NCT U",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.683,0.92,9,0,0.0,0.678,196571,4,-3.322,0.0924,0.0294,0.295,94.959,46,2018-03-14
1qq7YnBOcXtfX3tCCMJllG,Black on Black,"NCT, NCT 2018",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.523,0.864,10,0,0.000454,0.247,197981,4,-4.746,0.359,0.106,0.0672,142.11,47,2018-03-14
4SBdExnMWp7er8KxnpPzpG,텐데…Timeless,"NCT, NCT U",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.557,0.442,1,1,0.0,0.272,250826,4,-4.595,0.0314,0.316,0.138,127.873,40,2018-03-14
6BdchFAP4TUZUceAsAEb5U,The 7th Sense,"NCT, NCT U",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.682,0.502,2,1,8.45e-06,0.218,214035,4,-9.507,0.0713,0.0124,0.107,108.08,54,2018-03-14
78DVHbAahuQF56gOC4GnuN,WITHOUT YOU,"NCT, NCT U",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.578,0.942,2,1,0.0,0.53,205533,4,-1.693,0.0556,0.0428,0.0833,127.835,50,2018-03-14
51q7nOFtavUgnbaVLfwddo,WITHOUT YOU - Chinese Version,"NCT, NCT U",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.578,0.947,2,1,0.0,0.516,205533,4,-1.629,0.0588,0.0394,0.126,128.021,29,2018-03-14
6MWqKPyfweTJ60mpiTj24o,Dream In A Dream,"NCT, NCT U",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.618,0.748,8,0,0.00225,0.367,215222,4,-6.301,0.0315,0.0381,0.295,102.052,39,2018-03-14
0GubDiGTY2PtqgBQPYaOBy,OUTRO: VISION,"NCT, NCT U",NCT 2018 EMPATHY,3KAJvo62RNQEtXwIyB5rzX,0.556,0.913,2,1,0.962,0.357,57474,4,-4.075,0.0929,0.000385,0.268,179.925,25,2018-03-14
1Q5SpQeocfNXefx76svqkl,Make A Wish (Birthday Song),NCT U,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.732,0.795,8,1,0.0,0.693,229400,4,-2.263,0.1,0.0632,0.0569,100.954,59,2020-10-12
0TwCKusNQIqzjMJdfBf16s,Misfit,NCT U,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.783,0.984,2,1,0.0,0.744,215853,4,-1.785,0.114,0.14,0.309,105.963,50,2020-10-12
6A8Mh4ewVvN3iicSYZTLEK,Volcano,NCT U,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.855,0.711,9,1,8.97e-06,0.314,228693,4,-5.871,0.101,0.0589,0.105,100.037,36,2020-10-12
1frijvMGb9PAMWNx0XWCQR,Light Bulb,NCT U,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.596,0.829,4,0,0.0,0.347,239387,4,-4.066,0.131,0.0732,0.137,158.013,32,2020-10-12
5GmPKFWlJqptEgIbINSJQ1,Dancing In The Rain,NCT U,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.734,0.63,1,1,0.0,0.553,215080,4,-5.36,0.0976,0.163,0.227,95.94,34,2020-10-12
4Iy1rLXDqZhiD1noLPEX84,Interlude: Past to Present,NCT U,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.586,0.699,1,1,0.69,0.543,70867,4,-5.284,0.0737,0.0724,0.371,158.963,26,2020-10-12
73TM9iCEp8VtKZNXZADbQb,Déjà Vu,NCT DREAM,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.438,0.881,1,1,0.0,0.419,207947,4,-3.451,0.179,0.075,0.121,171.909,47,2020-10-12
3IcZIfmd2xHPTBydPUMkx1,Nectar,WayV,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.791,0.821,11,0,0.0,0.742,198680,4,-3.329,0.0414,0.214,0.0828,115.076,47,2020-10-12
7fj45if7EIEfWCpinhzMC1,"Music, Dance",NCT 127,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.837,0.806,1,0,2.16e-06,0.74,235507,4,-4.804,0.107,0.0139,0.268,125.007,36,2020-10-12
6xOfdH7XjM8ImGLXBOtdgE,Faded In My Last Song,NCT U,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.755,0.828,10,0,4.41e-06,0.683,215827,4,-3.11,0.0482,0.15,0.112,135.002,48,2020-10-12
1Q2ebj4xoyyGiGHYPGbXJU,From Home,NCT U,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.622,0.859,1,1,0.0,0.457,260320,4,-3.034,0.0563,0.516,0.361,131.989,49,2020-10-12
6l5lTPp2M38qhqrOub7Kwr,From Home - Korean Version,NCT U,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.628,0.854,1,1,0.0,0.457,260333,4,-2.961,0.0519,0.518,0.356,132.02,29,2020-10-12
6AOcRbxz8tjabipJyUCrvW,Make A Wish (Birthday Song) - English Version,NCT U,NCT RESONANCE Pt. 1 - The 2nd Album,1rGpCbxrR8efs4nMPdUj1q,0.726,0.802,8,1,0.0,0.658,229400,4,-2.43,0.144,0.0582,0.0528,101.005,41,2020-10-12
