Song_id,Song,Artist,Album,Album_id,danceability,energy,key,mode,instrumentalness,valence,duration_ms,time_signature,loudness,speechiness,acousticness,liveness,tempo,popularity,year_of_release
3DjJqtq9KjM69osocS4JUc,Regular,WayV,The Vision - The 1st Digital EP,6zaHxIDk15FXpLaeIDmiBk,0.715,0.789,9,0,0.0,0.866,217587,4,-5.137,0.0474,0.309,0.301,134.02,41,2019-01-17
19KPe3Byszxiixva1tI8fe,Come Back,WayV,The Vision - The 1st Digital EP,6zaHxIDk15FXpLaeIDmiBk,0.713,0.818,4,0,0.0,0.643,205293,4,-4.91,0.152,0.0281,0.117,111.972,34,2019-01-17
6Vg2Y5ETpGdhMYpSESjIzN,Dream Launch,WayV,The Vision - The 1st Digital EP,6zaHxIDk15FXpLaeIDmiBk,0.715,0.776,6,0,0.0,0.514,226547,4,-5.888,0.0379,0.0241,0.133,93.032,38,2019-01-17
1FU3x0eu9cUl3AltO6t2KH,Take Off,WayV,Take Off - The 1st Mini Album,7IzPpfu5gInokmyg2rDhRL,0.723,0.827,8,1,0.0,0.168,233720,4,-5.417,0.0347,0.0119,0.183,103.023,47,2019-05-09
5LQhLNSWjV6IhsSO6b8Xxh,Say It,WayV,Take Off - The 1st Mini Album,7IzPpfu5gInokmyg2rDhRL,0.381,0.844,0,0,0.0,0.353,195853,4,-5.878,0.17,0.084,0.375,73.828,34,2019-05-09
4CZaAPfc74YaIPBEMFCKXH,Let me love u,WayV,Take Off - The 1st Mini Album,7IzPpfu5gInokmyg2rDhRL,0.655,0.759,1,1,0.0,0.831,226013,4,-5.986,0.0446,0.442,0.0682,91.991,39,2019-05-09
1Z6yAybe9wz2Revpfy5eSa,Yeah Yeah Yeah,WayV,Take Over The Moon - The 2nd Mini Album,4ha80ucjDvhmQPLT77yyob,0.682,0.851,9,1,0.0,0.611,198005,4,-5.193,0.0847,0.177,0.334,131.011,33,2019-10-29
0nNrpT5W9YOvR3bEa7ym12,Moonwalk,WayV,Take Over The Moon - The 2nd Mini Album,4ha80ucjDvhmQPLT77yyob,0.734,0.629,2,1,0.0,0.377,222686,4,-6.299,0.0543,0.0507,0.0899,109.982,48,2019-10-29
6bc8VmlNt5S9WJlyw8bBdd,Love Talk,WayV,Take Over The Moon - The 2nd Mini Album,4ha80ucjDvhmQPLT77yyob,0.742,0.749,6,0,0.0,0.485,232694,4,-5.06,0.0378,0.232,0.119,98.013,52,2019-10-29
04uvFToQGZkrdWkm65gxmu,King of Hearts,WayV,Take Over The Moon - The 2nd Mini Album,4ha80ucjDvhmQPLT77yyob,0.651,0.638,11,0,0.0,0.409,198268,4,-6.024,0.108,0.161,0.325,149.902,38,2019-10-29
3Zr1trnK5GcmwMMm40Fjyb,Face to Face,WayV,Take Over The Moon - The 2nd Mini Album,4ha80ucjDvhmQPLT77yyob,0.54,0.296,2,1,0.0,0.383,207173,4,-9.83,0.0338,0.844,0.131,142.741,37,2019-10-29
2lDoT0PyJm1H4mWAO9p3kZ,We go nanana,WayV,Take Over The Moon - The 2nd Mini Album,4ha80ucjDvhmQPLT77yyob,0.709,0.71,7,1,0.0,0.54,206644,4,-4.473,0.0312,0.104,0.0173,98.022,34,2019-10-29
2e3cJdJ8xWwydl8JIYlCqB,Love Talk - English Version,WayV,Love Talk (English Version),60A7gFYvWmaDULmxUWSjyS,0.751,0.719,6,0,0.0,0.437,232150,4,-5.198,0.0373,0.142,0.148,98.01,66,2019-11-05
4aHqVuUrfYMPro2bqn5Fse,Turn Back Time,WayV,Awaken The World - The 1st Album,0XldHBFjCgxRMTXmjUj6cx,0.615,0.889,11,1,0.0,0.532,218680,4,-3.698,0.0427,0.00354,0.159,134.958,47,2020-06-09
5xfGmBYIy5EfWvqlT9vkRB,Bad Alive,WayV,Awaken The World - The 1st Album,0XldHBFjCgxRMTXmjUj6cx,0.662,0.909,3,0,0.0,0.533,229280,4,-2.965,0.0359,0.042,0.226,142.059,41,2020-06-09
3rirsQT0AxJ2SDzHDPnvr6,Unbreakable,WayV,Awaken The World - The 1st Album,0XldHBFjCgxRMTXmjUj6cx,0.598,0.802,10,0,0.0,0.533,217813,4,-2.88,0.0407,0.168,0.184,140.092,37,2020-06-09
5OyBCIBDkTWUSvbFPFnKl0,After Midnight,WayV,Awaken The World - The 1st Album,0XldHBFjCgxRMTXmjUj6cx,0.577,0.87,2,0,0.0,0.327,209320,4,-2.543,0.0557,0.0963,0.071,105.292,42,2020-06-09
25QUurWK5I3ugRUUuaxzLa,Interlude: Awaken The World,WayV,Awaken The World - The 1st Album,0XldHBFjCgxRMTXmjUj6cx,0.481,0.783,1,1,0.699,0.337,53600,4,-5.072,0.0361,0.0778,0.138,136.073,28,2020-06-09
4HuVx0jVOlwRGtSkhPP4VE,Only Human,WayV,Awaken The World - The 1st Album,0XldHBFjCgxRMTXmjUj6cx,0.647,0.738,0,1,1.26e-06,0.454,212133,4,-3.759,0.0383,0.519,0.11,143.988,37,2020-06-09
